ur20-shoulder_pan_joint,ur20-shoulder_lift_joint,ur20-elbow_joint,ur20-wrist_1_joint,ur20-wrist_2_joint,ur20-wrist_3_joint
0.14679022,-0.54084814,1.5952423,0.36576313,2.4666317,1.378773
0.14742948,-0.54507184,1.6102226,0.32991776,2.4587727,1.3457981
0.14353313,-0.5566108,1.6168665,0.32401302,2.4664395,1.3335868
0.14175889,-0.5602948,1.6156679,0.3308411,2.4717264,1.3369766
0.13820608,-0.5705005,1.6201273,0.3276208,2.4790835,1.3271438
0.14198387,-0.552123,1.5959071,0.37573168,2.4793603,1.3798454
0.14427689,-0.54029894,1.5822965,0.4010758,2.4763517,1.408996
0.14686504,-0.52424455,1.5619646,0.44035113,2.4730525,1.4528443
0.14933465,-0.51050955,1.5458963,0.46961412,2.4685535,1.4867284
0.15147743,-0.5045717,1.5431201,0.4690028,2.462956,1.4896195
0.15376636,-0.49459413,1.5330565,0.48339874,2.4575794,1.507691
0.15666352,-0.48354822,1.5233847,0.4945578,2.4502733,1.5235602
0.15688768,-0.46640167,1.4917942,0.56048054,2.4506896,1.5903586
0.15453205,-0.47494027,1.4987732,0.5538901,2.457141,1.5797366
0.15243584,-0.4868825,1.5130776,0.5304838,2.462513,1.5526547
0.15045932,-0.4777698,1.4894185,0.5872389,2.4677503,1.6067388
0.15210606,-0.46837145,1.4795126,0.60189563,2.4616544,1.625096
0.15487354,-0.4539693,1.4648571,0.6208882,2.4514735,1.6498039
0.15643635,-0.4468794,1.4580489,0.6276488,2.4459496,1.6593131
0.1526586,-0.4516661,1.4546217,0.6488165,2.4547842,1.6753612
0.15003292,-0.45911646,1.4587979,0.6507435,2.4624848,1.6729888
0.14627877,-0.47172934,1.4674076,0.6462014,2.4741392,1.6612077
0.14797834,-0.48404244,1.4917791,0.590499,2.4745567,1.6057162
0.14616872,-0.49480933,1.5041195,0.5701194,2.4800575,1.5817375
0.14393051,-0.49797022,1.5016649,0.58260334,2.4862404,1.5903476
0.14175385,-0.5003872,1.4985836,0.5960046,2.4917204,1.6001902
0.14120355,-0.48140267,1.4675715,0.6628075,2.4872658,1.6692094
0.14251901,-0.45490274,1.4310873,0.7328463,2.4743726,1.746081
0.14389013,-0.4420245,1.415009,0.75801694,2.4660742,1.7749758
0.14723729,-0.44433233,1.4276801,0.7208661,2.4614587,1.7417377
0.14910106,-0.43464562,1.4176961,0.7319185,2.4538262,1.7565258
0.15155266,-0.43603978,1.426674,0.7054218,2.4502811,1.7328078
0.15269575,-0.42331502,1.4098412,0.73152757,2.4424164,1.7622257
0.14950389,-0.4201033,1.3961606,0.76949483,2.445988,1.7968568
0.14990442,-0.40769678,1.3790122,0.7962948,2.4372554,1.8267181
0.15134004,-0.39922336,1.3701715,0.80451006,2.4296257,1.8383907
0.1467074,-0.39142007,1.3501248,0.8393874,2.405591,1.8732888
0.14624694,-0.38301322,1.3355763,0.87840766,2.4220703,1.9109801
0.14479184,-0.3916751,1.3446748,0.8706275,2.430199,1.8995116
0.14311771,-0.4065706,1.3620589,0.8503887,2.4432352,1.873878
0.14311987,-0.418923,1.3795229,0.82235485,2.4523914,1.8429744
0.14187533,-0.42620444,1.3869883,0.8150062,2.4589493,1.8326081
0.1397148,-0.43882078,1.3998415,0.8018469,2.4701774,1.8142515
0.13648552,-0.4343254,1.3865774,0.83833146,2.4703236,1.848709
0.13818727,-0.4226161,1.3738673,0.8520706,2.460061,1.866767
0.13975151,-0.4106836,1.3604747,0.8668899,2.4496002,1.8858744
0.13612372,-0.4024828,1.3416094,0.9139991,2.4462082,1.9320198
0.13495427,-0.40988985,1.3495371,0.9068257,2.4530866,1.9219452
0.13220166,-0.39338338,1.3211869,0.96441054,2.4416728,1.9813646
0.1354588,-0.38717255,1.3189608,0.9522572,2.4341304,1.9736785
0.13916321,-0.3929996,1.3345232,0.91077775,2.4361486,1.9338073
